Print_ID,Product,ParentCategory,Category,Print_URL,Product_URL,Discount,Realization
0,Wizytówki bigowane,Poligrafia,Wizytówki,https://web-to-print.pl/,https://www.web-to-print.pl/wizytowki_bigowane,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Ulotki,Poligrafia,Ulotki,https://web-to-print.pl/,https://www.web-to-print.pl/ulotki,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Ulotki składane,Poligrafia,Ulotki składane,https://web-to-print.pl/,https://www.web-to-print.pl/ulotki_skladane,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Katalogi szyte,Poligrafia,Katalogi,https://web-to-print.pl/,https://www.web-to-print.pl/katalogi_szyte,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Plakaty,Poligrafia,Plakaty,https://web-to-print.pl/,https://www.web-to-print.pl/plakaty,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Plakat XXL,Poligrafia,Plakaty,https://web-to-print.pl/,https://web-to-print.pl/plakaty-xxl ,0%,Standard 3 dni
0,Papier firmowy,Poligrafia,Papier firmowy,https://web-to-print.pl/,https://www.web-to-print.pl/papier_firmowy,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Kartki pocztowe,Poligrafia,Pocztówki,https://web-to-print.pl/,https://www.web-to-print.pl/kartki_pocztowe,0%,"Standard-cyfra 48 h, Express-cyfra 24 h"
0,Dyplomy,Inne,Dyplomy,https://web-to-print.pl/,https://www.web-to-print.pl/dyplomy,0%,Expres Cyfra 24 h
0,Wizytówki i biznes karty,Poligrafia,Wizytówki,https://web-to-print.pl/,https://www.web-to-print.pl/wizytowki_i_biznes_karty,0%,"Express 24 h, Standard 48 h"
0,Wizytówki premium,Poligrafia,Wizytówki,https://web-to-print.pl/,https://www.web-to-print.pl/wizytowki_premium,0%,Standard 3 dni
0,Banery,Wielki format,Bannery,https://web-to-print.pl/,https://web-to-print.pl/banery,20%,Standard 3 dni
0,Winietki na stoły,Poligrafia,Zaproszenia,https://web-to-print.pl/,https://web-to-print.pl/winietki-na-stoly,20%,"Express 24 h, Standard 48 h"
3,Wizytówki Sleeking,Poligrafia,Wizytówki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/wizytowki_sleeking,25%,Standard 4 dni
3,Wizytówki HotStamping,Poligrafia,Wizytówki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/wizytowki_hotstamping,25%,Standard 3 dni
3,Wizytówki Multiloft Sleeking,Poligrafia,Wizytówki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/wizytowki_multiloft_sleeking,25%,Standard 4 dni
3,Wizytówki Multiloft HotStamping,Poligrafia,Wizytówki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/wizytowki_multiloft_hotstamping,25%,Standard 2 dni
3,Ulotki Express,Poligrafia,Ulotki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/ulotki_express,25%,Express 24h
3,Ulotki Sleeking,Poligrafia,Ulotki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/ulotki_sleeking,25%,Standard 4 dni
3,Ulotki Syntetyczne,Poligrafia,Ulotki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/ulotki_syntetyczne,25%,Express 24h
3,Ulotki składane,Poligrafia,Ulotki składane,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/ulotki_skladane,25%,Express 24h
3,Ulotki składane Sleeking,Poligrafia,Ulotki składane,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/ulotki_skladane_sleeking,25%,Standard 4 dni
3,Naklejki samoprzylepne Sleeking,Poligrafia,Naklejki / Etykiety,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/naklejki_samoprzylepne_-_sleeking,25%,Standard 5 dni
3,Certyfikaty Sleeking,Inne,Certyfikaty,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/certyfikaty_sleeking,25%,Standard 4 dni
3,Dyplomy Sleeking,Inne,Dyplomy,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/dyplomy_sleeking,25%,Standard 4 dni
3,Metki proste,Poligrafia,Metki   ,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/metki_proste,25%,Express 24h
3,Metki sztancowane,Poligrafia,Metki   ,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/metki_sztancowane,25%,Standard 2 dni
3,Wizytówki,Poligrafia,Wizytówki,https://drukexpress.pl/,https://drukexpress.pl/produkty/pokaz/wizytowki,25%,Express 24h  
